lvl,psv,agree,split_md
lvl1,low,0.483667240201035,coarse
lvl1,low,0.519354277340309,fine
lvl1,mid,0.51968901544872,coarse
lvl1,mid,0.503076261460278,fine
lvl1,high,0.548695824273489,coarse
lvl1,high,0.524382969612869,fine
lvl2,low,0.516322250835497,coarse
lvl2,low,0.529652439660127,fine
lvl2,mid,0.51916198130847,coarse
lvl2,mid,0.522069736440542,fine
lvl2,high,0.502477077109846,coarse
lvl2,high,0.535502105030802,fine
lvl3,low,0.546978297596134,coarse
lvl3,low,0.547464418911134,fine
lvl3,mid,0.53526803279642,coarse
lvl3,mid,0.539366344208935,fine
lvl3,high,0.539158299047071,coarse
lvl3,high,0.538164478474859,fine
lvl4,low,0.508153571149633,coarse
lvl4,low,0.513198038071975,fine
lvl4,mid,0.491536797320513,coarse
lvl4,mid,0.509650788733429,fine
lvl4,high,0.560372228864733,coarse
lvl4,high,0.485826016545335,fine
lvl5,low,0.525930673368285,coarse
lvl5,low,0.536185954711956,fine
lvl5,mid,0.502393934193836,coarse
lvl5,mid,0.500144355349958,fine
lvl5,high,0.511216311317152,coarse
lvl5,high,0.520781940571277,fine
