SubNo,Tutorial_1_nullify_stop,Tutorial_2_nullify_stop,Tutorial_3_nullify_stop,Tutorial_4_nullify_stop,Train_1_when_move_onto_mirror,Train_1_is_pushing_text_first_onto_mirror,Train_1_when_push_text_from_mirror,Tutorial_1_move_outside_I_shape,Tutorial_2_when_move_outside_I_shape
1,0,0,0,0,39.2666,0,1022.281,0,121.9332
2,0,0,0,0,11.5,0,113.333,0,48.79995
3,0,0,0,0,13.1333,0,16.5833,0,21.7834
4,0,0,0,0,14.6,0,266.2496,0,24.25001
5,0,0,0,0,119.0332,0,241.1329,0,119.3164
6,0,1,0,0,30.3833,0,115.0164,1,6.51671
7,0,0,0,0,32,0,736.065,0,82.1333
8,0,0,0,0,16.0334,0,265.2996,0,69.3666
9,0,0,0,0,37.384,1,37.634,0,136.483
10,0,0,0,0,138.0165,0,227.6995,0,26.6333
11,0,0,0,0,21.5999,0,23.3334,0,24.4166
12,0,0,0,0,20.0165,0,64.8166,0,45.2333
13,0,0,0,0,14.6167,0,26.4833,0,14.38342
14,0,0,0,0,13.7,0,69.8332,0,53.0665
15,0,0,0,0,32.0332,0,114.5663,0,48.6167
16,0,0,0,0,108.7332,0,123.5497,0,58.4833
17,0,0,0,0,8.6167,0,90.4166,0,131.6831
18,0,0,0,0,13.9833,0,63.9998,0,30.8666
19,0,0,0,0,23.7666,0,58.6996,0,37.4498
20,0,0,0,0,24.6,0,80.2831,0,74.93297
21,0,1,0,0,6.9332,0,79.2494,0,7.79995
22,0,0,0,0,53.1832,1,54.1164,0,105.38352
23,0,1,0,0,16.3667,0,43.0666,0,19.9666
24,0,0,0,0,48.7332,0,95.6498,0,156.083
25,0,0,0,0,16.4667,0,36.0832,0,99.33311
26,0,0,0,0,178.9995,1,179.3828,0,25.70005
27,1,0,0,0,10.2333,0,59.4833,1,36.6666
28,0,0,0,0,18.2002,0,107.5832,0,32.06659
29,0,0,0,0,42.7,0,629.432,0,58.3665
30,0,0,0,0,24.8999,0,277.8827,0,82.7165
31,0,1,0,0,11.0168,0,190.2997,1,10.46663
32,0,1,0,0,17.133,0,29.933,0,18.31663
33,0,1,0,0,9.8,0,81.3332,0,32.2833
34,0,0,0,0,17.3499,0,153.9164,0,45.3333
35,0,0,0,0,9.8,0,343.3656,0,293.31577
36,0,0,0,0,11.7834,0,78.8165,0,53.46657
37,0,0,0,0,50.9999,0,154.9497,0,160.14968
38,0,0,0,0,139.2328,0,160.1327,0,198.01611
39,0,0,0,0,51.8332,0,115.7995,0,10.74999
40,0,0,0,0,159.6163,0,185.9995,0,30.56672
41,0,0,0,0,7.4167,0,149.1995,0,61.6831
42,0,0,0,0,44.9833,0,65.8166,0,79.8498
43,0,0,0,0,7.0666,0,178.7828,0,94.23298
44,0,0,0,0,29.7,0,48.2665,0,125.4829
45,0,0,0,0,25.2167,0,83.8332,0,21.41659
46,0,0,0,0,13.3334,0,88.8498,0,81.6498
47,0,0,0,0,111.8831,0,134.3332,0,41.4666
48,0,0,0,0,14.2167,0,64.6498,0,57.53317
49,0,0,0,0,95.7165,0,133.0831,0,45.5999
50,0,0,0,0,24.1998,0,109.833,0,41.86668
51,0,0,0,0,27.5832,0,248.6493,0,15.43326
52,0,0,0,0,17.3666,0,100.5664,0,4.49999
53,0,0,0,0,12,0,51.6999,0,18.4
54,0,0,0,0,21.5667,0,209.7829,1,88.7164
55,0,0,0,0,179.4495,0,221.3161,0,272.3993
56,0,0,0,0,22.1333,0,161.2662,1,33.2498
57,0,0,0,0,22.0332,0,93.3328,1,13.9333
58,0,0,0,0,125.733,0,159.2996,0,27.43325
59,0,1,0,0,37.9164,0,130.1829,0,42.4834
60,0,0,0,0,15.4999,0,99.9997,0,23.76663
61,0,0,0,1,38.2666,0,41.1332,1,31.4166
62,0,0,0,0,55.9831,0,104.5997,0,63.5499
63,0,0,0,0,14.1,0,62.8498,0,9.50003
64,0,0,0,0,15.2666,0,92.8665,0,27.8665
