chapter,level,version,n_sub,n_steps,ruleFormed,ruleBroken,areYouMoving,areYouDestroyed,attemptedPush,successfulPush,directlyPushText,directlyPushSprite,numEntities,numType
1,1,0,64,17.703125,0,0,0.948808473080318,0,6.53125,6.15625,0.0358851674641148,0.964114832535885,1.05980861244019,1
1,2,0,64,299.984375,0.0291679459625422,0.0196499846484495,0.947966039897911,0.000781290692223553,54.078125,50.890625,1,0,1.45044784744294,1
1,3,0,64,38.984375,0,0.857142857142857,0.987575150300601,0,8.078125,8.015625,0.170212765957447,0.829787234042553,1.05609284332689,1.00967117988395
1,4,0,64,17.046875,0,0.130434782608696,0.978001833180568,0,3.625,3.4375,0.245689655172414,0.754310344827586,1.27155172413793,1
2,1,0,64,769.875,0.0347506830601093,0.0767588797814208,0.946785192401364,0,197.578125,183,1,0,1.44642151047845,1
2,2,0,64,75.09375,0.0687450039968026,0.0783373301358913,0.961090303786933,0.00957136912193092,20.125,19.546875,1,0,1.30434782608696,1
2,3,0,64,44.90625,0.074245939675174,0,0.95615866388309,0,13.984375,13.46875,1,0,1.03575418994413,1
2,4,0,32,243.65625,0.04,0.1,0.95844555598307,0.0120559189431833,85.4375,78.1875,0.286759326993416,0.713240673006584,1.7626188734455,1.03767373811266
2,4,1,32,266.3125,0.0584795321637427,0.130116959064327,0.965970429476649,0.0129077681295471,92.46875,86.1875,0.286245353159851,0.713754646840149,1.79317336938155,1.02838796890841
2,5,0,32,224.21875,0.0445632798573975,0.136660724896019,0.950662020905923,0.0086411149825784,56.65625,52.59375,1,0,1.42195256480971,1
2,5,1,32,148.21875,0.0497695852534562,0.159447004608295,0.963946869070209,0.0120177103099304,35.65625,33.90625,1,0,1.44084136722174,1
3,1,0,64,221.375,0.0376460406750325,0.0861099091302466,0.948334274421231,0.00458780350084698,64.25,59.09375,0.61113813229572,0.38886186770428,1.92923151750973,1.05544747081712
3,2,0,62,429.016129032258,0.0514446793516561,0.0897345548508339,0.93883228692808,0.00394751682394075,124.725806451613,106.209677419355,0.604681236260184,0.395318763739816,2.53562653562654,1.0659511185827
3,2,1,1,561,0.0272108843537415,0.0476190476190476,0.976827094474153,0.0017825311942959,205,195,0.746341463414634,0.253658536585366,1.76585365853659,1.04390243902439
3,3,0,19,670.947368421053,0.0217699952673923,0.0752484619025083,0.957326639472858,0.00784436774395984,189.263157894737,175.263157894737,0.645161290322581,0.354838709677419,1.30478309232481,1.02780867630701
3,3,1,37,345.648648648649,0.0226109215017065,0.064419795221843,0.948393150363594,0.00539526155289702,96.2432432432432,89.5945945945946,0.708508845829823,0.291491154170177,1.16006739679865,1.0188149396237
