SubNo,pushText,pushTextAsExtensionButFail,lvl4Type,lvl5Type,lastLevelTime2Win,lastLevelSteps2Win,preTestTime2Win,preTestSteps2Win,thisLevelTime2Win,thisLevelSteps2Win,baselineTime2Win,baselineSteps2Win
1,53,0,1,1,213.966,304,1043.098,1011,123.899,158,38.7,55
2,12,0,1,0,180.7496,387,257.6161,466,41.8499,66,18.4833,45
3,20,0,1,0,238.7662,608,108.9167,287,75.7998,152,26.8167,46
4,182,1,1,1,249.832,409,616.949,544,648.983,699,14.866,30
5,279,4,1,0,143.7,161,581.5151,685,960.147999999999,965,36.7160000000001,44
6,6,0,0,0,97.3831,110,276.7996,340,30.25,29,22.4166,40
7,7,0,1,1,379.083,323,804.032,1082,70.5329999999999,35,49.9000000000001,51
8,9,0,0,0,94.1998,174,339.2994,596,40.1999000000001,53,21.9834,43
9,13,1,1,1,128.666,117,526.582,512,71.7840000000001,45,31.866,44
10,258,4,1,0,66.1330999999999,62,384.7657,511,652.9646,991,18.8163999999999,37
11,9,0,0,1,41.8666,65,100.0332,196,60.5165,97,19.1167,39
12,7,0,1,1,453.833,448,1259.979,965,68.1500000000001,45,83.2659999999998,102
13,35,0,1,0,105.6666,190,99.1998,234,93.6664999999999,176,16.3997000000001,38
14,40,1,1,1,185.0665,198,486.0988,568,219.666,191,27.3333,37
15,103,0,0,0,166.7827,307,288.1825,542,270.8498,498,16.8499,39
16,8,0,0,0,56.616,91,812.7811,911,39.75,42,21.9839999999999,36
17,18,0,1,1,203.6162,280,145.7497,239,97.0993999999999,110,24.35,44
18,5,0,0,0,73.3500000000004,54,3227.1244,3054,30.2829999999994,27,96.7669999999998,68
19,7,0,0,1,32.9664,59,277.7485,635,35.1332000000001,49,19.7666,45
20,8,0,0,0,164.549,218,510.214,747,32.5001,25,16.9666,33
21,6,0,0,1,41.5495999999999,67,173.1157,310,21.9832,33,24.0165999999999,39
22,147,3,1,0,269.265,409,1048.9424,1664,403.031,620,20.2160000000001,44
23,13,1,0,1,169.2498,239,389.866,668,58.6667,71,26.5166,40
24,98,1,0,1,242.666,196,346.4656,323,339.716,307,31.6500000000001,38
25,5,0,1,0,306.3994,412,223.0663,365,23.7665000000001,42,22.7666,52
26,125,2,0,1,128.0163,180,604.8149,870,249.2833,483,19.4501,44
27,85,4,0,1,41.0165000000001,69,172.1161,346,222.9494,298,19.0667,31
28,129,4,0,1,56.8832,89,137.9663,240,278.4489,472,16.1,34
29,6,0,0,0,561.532,491,1258.664,895,239.249,55,52.1489999999999,64
30,14,0,0,0,184.533,367,659.5819,941,95.867,72,20.133,43
31,25,0,1,1,51.9001,118,263.9828,509,44.6499,102,13.8833999999999,37
32,10,1,1,1,57.7000000000003,71,1417.93,2568,47.6999999999998,57,25.6990000000001,52
33,5,0,1,0,87.5666,109,150.2664,280,19.9499,35,26.1499,44
34,22,0,0,0,169.2327,201,255.5995,442,239.9,168,17.9,37
35,7,0,1,1,124.449,135,556.1152,563,36.5830000000001,31,16.0840000000001,32
36,6,0,0,1,155.8663,209,227.5828,413,37.0998999999999,44,23.0833,43
37,34,0,1,0,209.8826,323,309.2325,428,97.3489999999999,139,28.6667000000002,46
38,255,8,1,0,300.166,315,721.3145,888,639.714,832,29.2329999999999,42
39,9,0,0,1,96.5500000000002,161,1691.3612,2509,46.3829999999998,69,15.567,39
40,225,1,0,0,74.7498000000001,87,255.6993,351,376.616,533,16.4499000000001,39
41,6,0,1,1,156.416,316,1140.0795,2089,19.5829999999999,34,27.0830000000001,60
42,22,0,0,1,93.816,51,1001.3642,710,134.116,99,66.95,76
43,14,1,0,1,187.7826,301,536.1651,589,93.3,74,79.6331,118
44,14,0,1,0,158.166,233,416.6487,666,55.25,71,17.399,32
45,13,0,0,0,165.249,281,1230.5633,2030,43.75,80,23.2,55
46,29,0,1,1,120.466,207,111.0831,262,78.7833999999999,140,23.4501,52
47,5,0,1,0,126.949999999999,130,1323.1958,2137,38.8170000000009,31,18.4499999999998,42
48,19,0,0,0,265.516,329,1409.1644,1740,81.317,71,19.5170000000001,33
49,117,1,0,0,95.4659999999999,133,682.682,942,382.066,447,25.6500000000001,33
50,13,0,0,1,416.9829,699,357.4323,744,62.683,90,50.65,120
51,20,0,0,1,435.6486,660,276.2158,546,105.1664,150,21.9,36
52,8,0,0,0,41.7499,67,142.9496,298,42.2498,59,34.4832,65
53,16,0,0,1,71.7329999999999,120,823.4481,1475,47.3499999999999,88,31.5839999999998,61
54,183,3,0,0,223.199,260,774.9149,1048,666.147,696,30.7,33
55,10,0,1,0,337.482,490,588.0316,1051,55.8499999999999,65,13.2829999999999,28
56,7,0,1,0,187.749,254,886.2643,954,67.7670000000001,47,20.05,46
57,5,0,1,1,104.0997,91,192.9992,237,44.2994,28,52.5998000000001,40
58,34,1,1,1,131.7162,244,185.2495,265,157.3164,202,17.8499,34
59,5,0,1,0,153.3996,238,309.1158,588,29.5167,33,16.6166000000001,25
60,120,1,1,1,488.0816,800,392.9154,668,280.749,459,15.6333,35
61,6,0,1,1,173.533,212,1228.0462,1823,45.0499999999997,25,18.317,29
62,6,0,1,0,310.7823,295,558.6983,656,37.433,26,30.8996000000001,32
63,7,0,0,1,773.1648,1076,372.0656,629,31.9829999999999,41,27.2332,54
64,24,0,0,0,428.8479,644,252.2159,376,136.066,175,24.1,46
